Wavelength_(nm),Intensity_(Counts) ,,,Wavelength_(nm),Intensity_(Counts) 
340.712,-66.02,,,430,8640
341.091,-66.02,,,431,8590
341.47,-66.02,,,432,7940
341.849,29.56,,,433,8280
342.229,27.11,,,434,7920
342.608,9.96,,,435,8030
342.987,-31.71,,,436,8000
343.366,-61.12,,,437,8080
343.745,22.21,,,438,7530
344.124,-9.65,,,439,7530
344.503,27.11,,,440,7910
344.881,-19.45,,,441,8150
345.26,-21.9,,,442,7850
345.639,0.15,,,443,7780
346.018,-26.8,,,444,7710
346.396,0.15,,,445,7340
346.775,130.04,,,446,7870
347.154,117.79,,,447,7590
347.532,-26.8,,,448,7990
347.911,-43.96,,,449,7750
348.289,-66.02,,,450,7870
348.668,-24.35,,,451,8400
349.046,27.11,,,452,8360
349.425,66.32,,,453,8290
349.803,44.27,,,454,8260
350.181,51.62,,,455,8550
350.56,-117.48,,,456,8160
350.938,51.62,,,457,8560
351.316,-12.1,,,458,8260
351.694,78.58,,,459,8840
352.072,-51.31,,,460,7930
352.45,110.44,,,461,8660
352.828,176.61,,,462,9160
353.206,90.83,,,463,9300
353.584,-36.61,,,464,8990
353.962,2.6,,,465,9250
354.34,-46.41,,,466,9560
354.718,7.51,,,467,9850
355.095,17.31,,,468,10570
355.473,-12.1,,,469,9880
355.851,12.41,,,470,10610
356.229,-129.74,,,471,11220
356.606,7.51,,,472,12980
356.984,61.42,,,473,12930
357.361,-75.82,,,474,14080
357.739,54.07,,,475,15070
358.116,132.49,,,476,16690
358.494,5.05,,,477,18010
358.871,36.91,,,478,18410
359.248,-36.61,,,479,21240
359.626,112.89,,,480,22990
360.003,14.86,,,481,25590
360.38,58.97,,,482,28220
360.757,24.66,,,483,32580
361.134,-102.78,,,484,36960
361.511,-14.55,,,485,41820
361.888,5.05,,,486,48850
362.265,90.83,,,487,55140
362.642,34.46,,,488,63940
363.019,83.48,,,489,75850
363.396,132.49,,,490,88900
363.773,181.51,,,491,106610
364.15,-48.86,,,492,123960
364.527,39.36,,,493,150960
364.903,49.17,,,494,179350
365.28,-39.06,,,495,216280
365.657,-9.65,,,496,256050
366.033,-17,,,497,305500
366.41,51.62,,,498,357990
366.786,27.11,,,499,416320
367.163,12.41,,,500,482360
367.539,12.41,,,501,546490
367.915,63.87,,,502,603370
368.292,115.34,,,503,672490
368.668,27.11,,,504,723440
369.044,122.69,,,505,771490
369.421,34.46,,,506,811740
369.797,-9.65,,,507,831750
370.173,54.07,,,508,841820
370.549,649.6,,,509,842290
370.925,-43.96,,,510,817550
371.301,-43.96,,,511,798160
371.677,7.51,,,512,751490
372.053,34.46,,,513,710920
372.429,58.97,,,514,663710
372.805,127.59,,,515,616410
373.181,137.39,,,516,559100
373.556,-24.35,,,517,511740
373.932,-14.55,,,518,466170
374.308,12.41,,,519,421010
374.683,71.22,,,520,380600
375.059,81.03,,,521,345310
375.435,73.68,,,522,312440
375.81,29.56,,,523,282550
376.186,7.51,,,524,255890
376.561,5.05,,,525,229730
376.936,78.58,,,526,212000
377.312,-83.17,,,527,193560
377.687,-80.72,,,528,173480
378.062,76.13,,,529,158490
378.438,-4.75,,,530,147490
378.813,100.63,,,531,136020
379.188,-68.47,,,532,124040
379.563,54.07,,,533,113110
379.938,-34.16,,,534,105760
380.313,63.87,,,535,98100
380.688,88.38,,,536,90800
381.063,51.62,,,537,86050
381.438,78.58,,,538,78120
381.813,-58.66,,,539,74460
382.188,78.58,,,540,68940
382.563,76.13,,,541,63180
382.937,76.13,,,542,60370
