Wavelength_(nm),Intensity_(Counts),,,Wavelength_(nm),Intensity_(Counts)
340.712,3.83,,,430,9160
341.091,3.83,,,431,9200
341.47,3.83,,,432,9300
341.849,-1.07,,,433,8710
342.229,-135.86,,,434,8740
342.608,-5.97,,,435,8820
342.987,-77.04,,,436,8550
343.366,55.29,,,437,8280
343.745,-40.28,,,438,8440
344.124,20.98,,,439,7500
344.503,18.53,,,440,7940
344.881,20.98,,,441,8060
345.26,-5.97,,,442,7650
345.639,45.49,,,443,7720
346.018,-47.64,,,444,7440
346.396,-20.68,,,445,7410
346.775,-28.03,,,446,7430
347.154,45.49,,,447,7450
347.532,23.44,,,448,7690
347.911,50.39,,,449,8130
348.289,-54.99,,,450,8080
348.668,-18.23,,,451,7860
349.046,-15.78,,,452,7750
349.425,-72.14,,,453,7780
349.803,30.79,,,454,7600
350.181,1.38,,,455,8180
350.56,-126.06,,,456,8120
350.938,-54.99,,,457,8180
351.316,-5.97,,,458,8140
351.694,84.7,,,459,8230
352.072,-52.54,,,460,8320
352.45,89.6,,,461,8920
352.828,82.25,,,462,9580
353.206,-15.78,,,463,8910
353.584,-15.78,,,464,10770
353.962,-25.58,,,465,10820
354.34,-67.24,,,466,11470
354.718,-23.13,,,467,12200
355.095,-3.52,,,468,13290
355.473,-91.75,,,469,13950
355.851,-32.93,,,470,15890
356.229,-96.65,,,471,16700
356.606,47.94,,,472,18980
356.984,-15.78,,,473,22650
357.361,-99.1,,,474,24310
357.739,-20.68,,,475,27580
358.116,20.98,,,476,30910
358.494,-1.07,,,477,36710
358.871,16.08,,,478,41690
359.248,-25.58,,,479,47520
359.626,18.53,,,480,55220
360.003,-23.13,,,481,63810
360.38,96.96,,,482,73300
360.757,18.53,,,483,85420
361.134,-64.79,,,484,105700
361.511,96.96,,,485,124070
361.888,18.53,,,486,148500
362.265,79.8,,,487,178460
362.642,18.53,,,488,214600
363.019,-1.07,,,489,257810
363.396,126.37,,,490,314840
363.773,55.29,,,491,380000
364.15,-28.03,,,492,453360
364.527,-23.13,,,493,548050
364.903,-74.59,,,494,649370
365.28,-69.69,,,495,774970
365.657,-5.97,,,496,902790
366.033,-37.83,,,497,1033580
366.41,92.06,,,498,1166790
366.786,1.38,,,499,1289690
367.163,28.34,,,500,1426100
367.539,111.66,,,501,1545600
367.915,-37.83,,,502,1628570
368.292,79.8,,,503,1699910
368.668,74.9,,,504,1740090
369.044,30.79,,,505,1745960
369.421,28.34,,,506,1730750
369.797,-42.73,,,507,1693840
370.173,25.89,,,508,1625370
370.549,611.61,,,509,1545010
370.925,-32.93,,,510,1445600
371.301,-72.14,,,511,1348440
371.677,-10.88,,,512,1233380
372.053,-20.68,,,513,1136040
372.429,28.34,,,514,1038530
372.805,87.15,,,515,940510
373.181,43.04,,,516,840890
373.556,-89.3,,,517,754930
373.932,-64.79,,,518,679210
374.308,-94.2,,,519,604090
374.683,55.29,,,520,535620
375.059,43.04,,,521,489090
375.435,116.56,,,522,429420
375.81,74.9,,,523,383200
376.186,-28.03,,,524,341420
376.561,13.63,,,525,310210
376.936,-20.68,,,526,278010
377.312,-57.44,,,527,250830
377.687,-45.19,,,528,226440
378.062,-8.42,,,529,204880
378.438,-62.34,,,530,182350
378.813,84.7,,,531,168110
379.188,-155.47,,,532,152860
379.563,-37.83,,,533,139890
379.938,-8.42,,,534,128500
380.313,47.94,,,535,116660
380.688,116.56,,,536,109260
381.063,35.69,,,537,100860
381.438,50.39,,,538,90420
381.813,-8.42,,,539,82190
382.188,-47.64,,,540,77200
382.563,16.08,,,541,72840
382.937,13.63,,,542,67330
383.312,-23.13,,,543,60950
383.687,50.39,,,544,56120
384.061,-8.42,,,545,53200
384.436,33.24,,,546,49140
384.81,-77.04,,,547,49230
385.185,-1.07,,,548,44870
385.559,40.59,,,549,42010
385.934,-57.44,,,550,39230
386.308,-15.78,,,551,37480
386.682,25.89,,,552,36620
387.057,-89.3,,,553,34250
387.431,20.98,,,554,34270
387.805,-13.33,,,555,31140
388.179,45.49,,,556,31790
388.553,-30.48,,,557,29860
388.927,77.35,,,558,29170
389.301,-13.33,,,559,27650
389.675,43.04,,,560,29000
390.049,-30.48,,,561,27760
390.423,45.49,,,562,27170
390.797,104.31,,,563,25470
391.171,-5.97,,,564,24780
391.545,55.29,,,565,24050
391.919,-81.95,,,566,23510
392.292,-79.5,,,567,21900
392.666,-54.99,,,568,21960
393.04,1.38,,,569,19550
393.413,-5.97,,,570,18750
393.787,131.27,,,571,18900
394.16,20.98,,,572,17190
394.534,55.29,,,573,16710
394.907,25.89,,,574,16380
395.28,136.17,,,575,16360
395.654,96.96,,,576,14960
396.027,-18.23,,,577,15270
396.4,67.55,,,578,14910
396.773,3.83,,,579,14020
397.147,-1.07,,,580,13690
