Wavelength_(nm),Intensity(Counts) 
340.712,-3.37
341.091,-3.37
341.47,-3.37
341.849,-13.17
342.229,1.53
342.608,48.1
342.987,-32.78
343.366,-13.17
343.745,-69.54
344.124,-13.17
344.503,-37.68
344.881,-89.15
345.26,3.98
345.639,40.74
346.018,-5.82
346.396,6.43
346.775,62.8
347.154,75.05
347.532,11.33
347.911,48.1
348.289,-35.23
348.668,8.88
349.046,92.21
349.425,128.97
349.803,-40.13
350.181,40.74
350.56,-86.69
350.938,-0.92
351.316,-37.68
351.694,26.04
352.072,-18.07
352.45,60.35
352.828,55.45
353.206,45.64
353.584,-79.34
353.962,-8.27
354.34,1.53
354.718,43.19
355.095,43.19
355.473,-40.13
355.851,-32.78
356.229,-106.3
356.606,38.29
356.984,131.42
357.361,-47.48
357.739,3.98
358.116,60.35
358.494,126.52
358.871,11.33
359.248,-37.68
359.626,60.35
360.003,16.24
360.38,106.91
360.757,-27.88
361.134,-8.27
361.511,55.45
361.888,62.8
362.265,94.66
362.642,-13.17
363.019,50.55
363.396,38.29
363.773,111.81
364.15,48.1
364.527,28.49
364.903,65.25
365.28,-30.33
365.657,-27.88
366.033,-3.37
366.41,13.79
366.786,43.19
367.163,18.69
367.539,30.94
367.915,43.19
368.292,16.24
368.668,28.49
369.044,50.55
369.421,-22.98
369.797,8.88
370.173,-10.72
370.549,55.45
370.925,-116.1
371.301,-0.92
371.677,13.79
372.053,18.69
372.429,3.98
372.805,1.53
373.181,-25.43
373.556,16.24
373.932,-30.33
374.308,11.33
374.683,35.84
375.059,23.59
375.435,62.8
375.81,-64.64
376.186,-47.48
376.561,-0.92
376.936,-40.13
377.312,-64.64
377.687,-96.5
378.062,-101.4
378.438,-147.96
378.813,99.56
379.188,-103.85
379.563,-76.89
379.938,18.69
380.313,151.03
380.688,153.48
381.063,-5.82
381.438,119.17
381.813,-84.24
382.188,-49.93
382.563,48.1
382.937,40.74
383.312,-57.29
383.687,77.5
384.061,-0.92
384.436,43.19
384.81,40.74
385.185,-37.68
385.559,-54.84
385.934,-45.03
386.308,77.5
386.682,21.14
387.057,1.53
387.431,23.59
387.805,48.1
388.179,28.49
388.553,11.33
388.927,26.04
389.301,6.43
389.675,146.12
390.049,18.69
390.423,-13.17
390.797,43.19
391.171,48.1
391.545,13.79
391.919,-8.27
392.292,-94.05
392.666,-10.72
393.04,-25.43
393.413,33.39
393.787,138.77
394.16,97.11
394.534,141.22
394.907,67.7
395.28,-49.93
395.654,75.05
396.027,33.39
396.4,82.41
396.773,43.19
397.147,13.79
397.52,82.41
397.893,116.72
398.266,92.21
398.639,109.36
399.012,-8.27
399.385,-22.98
399.757,57.9
400.13,111.81
400.503,99.56
400.876,207.39
401.248,82.41
401.621,60.35
401.994,-30.33
402.366,50.55
402.739,21.14
403.111,165.73
403.484,79.96
403.856,106.91
404.229,-18.07
404.601,89.76
404.973,18.69
405.345,26.04
405.718,75.05
406.09,26.04
406.462,-13.17
406.834,-45.03
407.206,-5.82
407.578,-5.82
407.95,67.7
408.322,28.49
408.693,212.29
409.065,82.41
409.437,40.74
409.809,148.58
410.18,-15.62
410.552,8.88
410.924,-8.27
411.295,-37.68
411.667,89.76
412.038,-49.93
412.41,13.79
412.781,-47.48
413.152,-22.98
413.524,-62.19
413.895,75.05
414.266,3.98
414.637,50.55
415.008,92.21
415.38,67.7
415.751,13.79
416.122,30.94
416.493,-18.07
416.863,8.88
417.234,60.35
