Wavelength_(nm),Intensity_(Counts) ,,,Wavelength_(nm),Intensity_(Counts) 
340.712,-45.8,,,430,185390
341.091,-45.8,,,431,185180
341.47,-45.8,,,432,183020
341.849,0.77,,,433,180320
342.229,-53.15,,,434,179390
342.608,69.39,,,435,177180
342.987,-97.26,,,436,174580
343.366,20.37,,,437,172930
343.745,13.02,,,438,168230
344.124,-102.16,,,439,165210
344.503,88.99,,,440,160310
344.881,-70.31,,,441,157480
345.26,-92.36,,,442,152300
345.639,128.2,,,443,145290
346.018,22.82,,,444,143820
346.396,-16.39,,,445,134930
346.775,-6.59,,,446,130520
347.154,88.99,,,447,126360
347.532,-28.64,,,448,123560
347.911,-33.54,,,449,117340
348.289,15.47,,,450,112590
348.668,-28.64,,,451,109190
349.046,79.19,,,452,101840
349.425,86.54,,,453,100180
349.803,44.88,,,454,95540
350.181,84.09,,,455,92150
350.56,-77.66,,,456,89070
350.938,25.27,,,457,87250
351.316,86.54,,,458,81470
351.694,27.72,,,459,82180
352.072,-43.35,,,460,80430
352.45,17.92,,,461,75830
352.828,71.84,,,462,74430
353.206,62.03,,,463,73780
353.584,-85.01,,,464,72060
353.962,13.02,,,465,70700
354.34,-26.19,,,466,67480
354.718,54.68,,,467,67380
355.095,-4.14,,,468,66110
355.473,-23.74,,,469,64350
355.851,59.58,,,470,64360
356.229,-97.26,,,471,62850
356.606,57.13,,,472,63030
356.984,160.06,,,473,63050
357.361,-138.93,,,474,65680
357.739,-62.95,,,475,66370
358.116,3.22,,,476,68650
358.494,47.33,,,477,69860
358.871,49.78,,,478,73970
359.248,-31.09,,,479,77470
359.626,35.08,,,480,83780
360.003,-43.35,,,481,91560
360.38,96.34,,,482,99190
360.757,17.92,,,483,110040
361.134,62.03,,,484,123000
361.511,74.29,,,485,141120
361.888,-6.59,,,486,162110
362.265,-21.29,,,487,188630
362.642,57.13,,,488,221790
363.019,15.47,,,489,263900
363.396,54.68,,,490,317110
363.773,133.11,,,491,378820
364.15,32.63,,,492,445130
364.527,8.12,,,493,533640
364.903,88.99,,,494,618420
365.28,0.77,,,495,726220
365.657,84.09,,,496,834520
366.033,30.17,,,497,943310
366.41,86.54,,,498,1058260
366.786,8.12,,,499,1156170
367.163,-45.8,,,500,1259220
367.539,13.02,,,501,1335780
367.915,0.77,,,502,1407280
368.292,57.13,,,503,1452460
368.668,27.72,,,504,1465850
369.044,59.58,,,505,1472190
369.421,0.77,,,506,1445710
369.797,-43.35,,,507,1409870
370.173,32.63,,,508,1347750
370.549,-45.8,,,509,1273030
370.925,-102.16,,,510,1202630
371.301,-77.66,,,511,1111770
371.677,64.48,,,512,1024620
372.053,-13.94,,,513,937000
372.429,10.57,,,514,857910
372.805,20.37,,,515,773000
373.181,42.43,,,516,697120
373.556,-4.14,,,517,625770
373.932,49.78,,,518,563560
374.308,42.43,,,519,501710
374.683,93.89,,,520,449140
375.059,103.7,,,521,403430
375.435,74.29,,,522,365960
375.81,71.84,,,523,325130
376.186,39.98,,,524,290880
376.561,13.02,,,525,263920
376.936,22.82,,,526,241750
377.312,-60.5,,,527,213910
377.687,-72.76,,,528,192750
378.062,54.68,,,529,175940
378.438,-18.84,,,530,160570
378.813,-43.35,,,531,145310
379.188,-50.7,,,532,133090
379.563,-18.84,,,533,123010
379.938,98.8,,,534,111480
380.313,-70.31,,,535,105680
